"Country","World.region","survey","year","Nutrition","Child.mortality","Years.of.schooling","School.attendance","Cooking.fuel","Sanitation","Drinking.water","Electricity","Housing","Assets","Sample.size"
"Colombia","Latin America and the Caribbean","DHS","2015-2016",NA,0.707360310479999,11.4139840006828,2.00899057090282,13.0130738019943,15.3234004974365,12.0975874364376,2.53335349261761,15.9910812973976,2.40399781614542,152688
"Comoros","Sub-Saharan Africa","DHS-MICS","2012",26.3622373342514,4.64837476611137,22.2597658634186,16.8327584862709,80.6095063686371,71.2825119495392,39.4806355237961,30.0870925188065,39.3085837364197,32.5918972492218,23290
"Congo","Sub-Saharan Africa","MICS","2014-2015",19.6465566754341,4.33012470602989,10.7338890433311,4.65648770332336,61.7223680019379,76.3773143291473,27.3568004369736,38.0828887224197,35.6456577777863,18.8019320368767,52024
"Congo, Democratic Republic of the","Sub-Saharan Africa","DHS","2013-2014",51.177990436554,12.3590849339962,18.3999866247177,25.4164755344391,97.7441549301147,79.7132074832916,70.2826380729675,86.0877096652985,83.651214838028,57.296484708786,46482
"Dominican Republic","Latin America and the Caribbean","MICS","2014",NA,1.31888911128044,8.60607773065567,2.78718359768391,10.0601367652416,16.5841221809387,9.30003002285957,2.38782986998558,12.3365312814713,5.34024685621262,116162
"Ecuador","Latin America and the Caribbean","ECV","2013-2014",13.6268809437752,5.19303716719151,4.68589924275875,1.79222021251917,4.45656888186932,14.2241150140762,14.3153503537178,1.25082423910499,11.0896162688732,4.11256328225136,109482
"Egypt","Arab States","DHS","2014",16.5792927145958,1.66514329612255,9.69539508223534,8.71796831488609,NA,9.8682276904583,4.04860898852348,0.172513269353658,5.73722571134567,1.07092307880521,116666
"El Salvador","Latin America and the Caribbean","MICS","2014",6.72715976834297,1.02174365893006,12.0481133460999,6.33711665868759,23.7077131867409,23.4910160303116,6.56472146511078,4.68853190541267,23.7873122096062,4.58035245537758,49978
"eSwatini","Sub-Saharan Africa","MICS","2014",18.7414780259132,4.30142879486084,7.57835656404495,3.23949865996838,62.6810133457184,46.7981219291687,36.4206790924072,38.9885097742081,16.0810217261314,17.1785056591034,20648
"Ethiopia","Sub-Saharan Africa","DHS","2016",53.7330627441406,5.71024008095264,52.6719987392426,34.0844452381134,95.2139854431152,93.4742748737335,63.9763355255127,79.7260940074921,96.0607528686523,70.0573801994324,69889
"Gabon","Sub-Saharan Africa","DHS","2012",19.3854734301567,6.80851563811302,10.5769269168377,4.89997379481792,15.3374418616295,63.5018289089203,22.0113053917885,10.1051956415176,15.3578385710716,10.562589019537,26641
"Gambia","Sub-Saharan Africa","DHS","2013",47.0973610877991,10.1065807044506,23.5151290893555,41.8938875198364,97.829669713974,59.8397195339203,19.6460425853729,62.8984570503235,35.7268184423447,9.00538712739944,23414
"Ghana","Sub-Saharan Africa","DHS","2014",21.4016541838646,4.08166237175465,17.265847325325,15.632027387619,78.3612787723541,85.4014098644257,24.7722491621971,25.132828950882,28.0053645372391,15.9868374466896,21472
"Guatemala","Latin America and the Caribbean","DHS","2014-2015",29.4800966978073,2.77490448206663,20.4351648688316,16.3289591670036,66.8694794178009,21.396704018116,40.2196168899536,12.9782170057297,41.0715818405151,13.9775067567825,99869
"Guinea","Sub-Saharan Africa","MICS","2016",34.2200428247452,9.41907986998558,41.7255789041519,42.4131602048874,98.49494099617,71.1249351501465,42.0706987380981,63.0832374095917,37.460857629776,25.7578521966934,45243
"Guinea-Bissau","Sub-Saharan Africa","MICS","2014",36.2883269786835,12.682817876339,39.9919599294662,36.8954509496689,97.9751467704773,87.4488711357117,34.0533852577209,81.6215038299561,91.8345093727112,15.3410688042641,47033
"Guyana","Latin America and the Caribbean","MICS","2014",7.78335258364677,1.97093915194273,3.98777015507221,1.70916300266981,6.80110603570938,12.9477754235268,6.04201778769493,13.9926910400391,9.43821221590042,5.26867024600506,20748
"Haiti","Latin America and the Caribbean","DHS","2016-2017",22.8473022580147,4.54591065645218,23.8612085580826,7.12240487337112,94.9684381484985,66.8842017650604,44.2854046821594,59.722626209259,41.1379456520081,44.3500101566315,58077
"Honduras","Latin America and the Caribbean","DHS","2011-2012",15.150959789753,1.82227697223425,14.0614256262779,12.2710198163986,57.0260763168335,32.4748307466507,11.6181224584579,NA,50.3239333629608,10.7969716191292,94719
"India","South Asia","DHS","2015-2016",37.5974088907242,2.68654972314835,13.8673886656761,6.39622658491135,58.4713220596314,51.9647061824799,14.5956188440323,12.1524624526501,45.6414431333542,13.9670982956886,2702677
"Indonesia","East Asia and the Pacific","DHS","2012",NA,1.96634698659182,5.32987490296364,5.87104856967926,37.9241079092026,30.7590812444687,26.2544125318527,3.66471633315086,12.1077299118042,10.2329485118389,176821
